Total DV: 13944.823
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     7       103817853.84     163075422589.5    -321187391912.4      -1679394152.0    16576.820    10409.564     -652.702      58.76    5829.49 76481
     8       110363921.55     262132623840.8    -234607888834.4      -7886179680.6    12868.370    15825.026     -890.604     560.56    6390.05 82928
     9       135479815.53     278380805258.4     241257397747.1     -14204633639.3   -11333.227    16032.507      270.949     210.67    6600.72 62378
    10       150736442.88      46643675421.4     403110199531.6      -7628209609.9   -17452.506     4555.617      605.744     259.90    6860.62 78602
    11       160120157.11    -117667834591.4     409982425909.2      -5511913126.8   -16987.679    -2746.115      278.767     495.60    7356.22 60162
    12       174355729.64    -325611007514.0     303279915267.1      -1696554575.8   -11707.633   -11373.792      302.328     337.87    7694.09 55115
    13       184122090.80    -410155229284.0     169291203073.9       3724117661.0    -5808.446   -15315.979      540.772     647.54    8341.63 44687
    14       197227308.73    -428900259306.2     -45776630479.9      11088521026.7     3096.304   -16683.668      469.324     134.46    8476.09 83126
    15       204964912.02    -385041794492.9    -172691154595.4      13494625930.8     8356.411   -15522.900      225.525     348.78    8824.88 76821
    16       225780842.26     -91204331281.0    -395287265243.5       6581058743.7    18208.644    -3794.499     -523.925     491.28    9316.16 54356
    17       235816374.86      91904025161.0    -391578827158.1       4051954273.2    17928.729     4429.423     -302.630     518.79    9834.95 74711
    18       244922113.21     242249853866.4    -320328892659.0       1752205463.6    14696.552    11079.778     -276.417     133.39    9968.34 83357
    19       249616976.85     303592126866.2    -262944760016.7        834311471.0    11699.679    13584.002     -201.015     485.55   10453.90 76542
    20       258842062.66     386333822733.6    -120403910019.4        889002354.9     5586.143    17040.281       -2.287     504.07   10957.97 81593
    21       272211567.90     388392651327.2     114128936137.5      -1020100956.5    -5177.448    17060.538     -137.621     186.80   11144.77 74130
    22       279198817.42     332152653531.6     224890547721.2      -6726752541.5   -10564.722    14503.851     -782.113     753.79   11898.56 83272
    23       283174949.69     284966842799.6     278566334770.8      -9714907402.6   -13114.829    12417.696     -715.336       3.76   11902.32 81088
    24       298243238.53      36877111542.6     383624070302.8     -16042318887.5   -18564.051      850.050     -175.225     140.62   12042.95 80799
    25       309571737.55    -164670152060.4     336155712184.2     -12800113021.2   -16398.428    -9201.401      483.795     419.37   12462.31 81313
    26       326039828.56    -348913953170.0      86927251076.8      -3838007300.3    -4234.979   -19261.654      709.881     244.16   12706.47 81682
    27       336208464.77    -340650843666.6    -111735736590.6       -147817857.3     5977.144   -18861.709      383.793     411.67   13118.15 67095
    28       359460120.10     -23075318075.9    -381178584569.8       4850132982.7    18291.090    -2042.471      112.553     677.15   13795.29 81317
    29       383036323.99     338727197193.5    -202007457605.6       4643070376.0     9208.556    15306.680     -145.850      81.67   13876.96 78421
    30       385837675.80     362219851429.2    -156916362278.7       4175528389.7     7313.049    16616.926     -180.015     318.89   14195.85 63893
    31       391670306.41     389908930710.3     -54131606247.9       4149105363.8     2324.422    18185.192      -30.994     372.88   14568.72 19107
    32       399899902.80     380482944742.6      94412620426.2       3057664495.0    -4648.809    17641.217     -163.879     192.51   14761.24 78190
    33       407584012.25     320931349762.1     221701448179.9       2488309691.4   -10695.168    15016.691      -97.241     154.04   14915.27 48817
    34       414251680.79     234597776514.5     310912145821.4       1877560623.4   -14935.694    11258.906     -107.304     264.37   15179.64 53517
    35       422374594.20      99126628095.5     379591547633.0       1552723263.3   -17996.648     5205.075      -55.141     274.69   15454.33 36882
    36       428732509.95     -18664877336.1     396708442670.2       2175916807.9   -18670.867        4.483       84.501     261.62   15715.95 78043
    37       444365490.55    -278811072929.9     303733380098.3       3914270188.0   -13616.153   -11321.157       58.163     317.91   16033.86 17061
    38       459135232.58    -410967488861.4      88111784557.2       4226623760.0    -3878.237   -16837.497      -35.932     108.80   16142.66 74090
    39       475344014.06    -377048226471.7    -181381615319.6       8929574122.0     7950.516   -15262.153      179.424     445.29   16587.95 78290
    40       481856969.67    -311824819435.3    -272541074242.0       9746891368.1    12031.873   -12531.273       68.173      62.80   16650.75 54239
    41       494606654.98    -120950272036.6    -384684900061.8       8772940266.0    17338.918    -4332.891     -193.236     212.61   16863.36 32558
    42       512825541.34     194181275439.6    -325236763176.1        616585887.1    15305.127    10897.818     -521.039     284.36   17147.72 78048
Total DV: 16764.969
 Stage              Epoch               X(m)               Y(m)               Z(m)      VX(m/s)      VY(m/s)      VZ(m/s)    DV(m/s)   TOTAL_DV    ID
     0         1603414.94     -93845766148.8     113501481175.2         -4684692.8   -23449.373   -19106.950        1.284       0.00       0.00    -2
     1        31481795.45     123569963040.4    -302174739582.5      -7998780678.7    14648.783     5866.892     1236.870     139.07     139.07 80043
     2        44072721.20     280868941655.9    -101732706207.3       3418500596.9     5492.321    21016.736      916.138    4629.92    4768.99 60782
     3        51386426.02     281913902764.2      59123427372.9       8080263382.6    -5534.495    21874.799      505.576     228.86    4997.85 83309
